"name","_col1","hour"
"BYND","137.97000122070312","09"
"BYND","139.55999755859375","10"
"BYND","141.0","11"
"BYND","138.24000549316406","12"
"BYND","137.78990173339844","13"
"BYND","135.7301025390625","14"
"BYND","135.85000610351562","15"
"DDOG","67.25","09"
"DDOG","66.55000305175781","10"
"DDOG","65.0","11"
"DDOG","64.87999725341797","12"
"DDOG","65.0","13"
"DDOG","64.12999725341797","14"
"DDOG","65.86990356445312","15"
"FB","203.8677978515625","09"
"FB","203.35000610351562","10"
"FB","204.27000427246094","11"
"FB","205.10000610351562","12"
"FB","205.63999938964844","13"
"FB","204.98500061035156","14"
"FB","206.92999267578125","15"
"NFLX","452.0","09"
"NFLX","446.510009765625","10"
"NFLX","440.6400146484375","11"
"NFLX","440.3399963378906","12"
"NFLX","441.7799987792969","13"
"NFLX","441.44000244140625","14"
"NFLX","442.1400146484375","15"
"OKTA","178.0","09"
"OKTA","177.80679321289062","10"
"OKTA","179.88999938964844","11"
"OKTA","179.0050048828125","12"
"OKTA","178.5","13"
"OKTA","177.80999755859375","14"
"OKTA","177.85000610351562","15"
"PINS","16.540000915527344","09"
"PINS","16.674999237060547","10"
"PINS","16.94499969482422","11"
"PINS","17.040000915527344","12"
"PINS","17.030000686645508","13"
"PINS","16.905000686645508","14"
"PINS","17.09000015258789","15"
"SHOP","758.0900268554688","09"
"SHOP","752.0","10"
"SHOP","757.469970703125","11"
"SHOP","754.1599731445312","12"
"SHOP","755.8200073242188","13"
"SHOP","751.7999877929688","14"
"SHOP","755.5700073242188","15"
"SNAP","16.729999542236328","09"
"SNAP","16.93000030517578","10"
"SNAP","17.149999618530273","11"
"SNAP","16.989999771118164","12"
"SNAP","17.0","13"
"SNAP","16.920000076293945","14"
"SNAP","16.969999313354492","15"
"SQ","72.80999755859375","09"
"SQ","75.58999633789062","10"
"SQ","76.48999786376953","11"
"SQ","76.75","12"
"SQ","77.18000030517578","13"
"SQ","77.26000213623047","14"
"SQ","78.25","15"
"TTD","289.44989013671875","09"
"TTD","290.07000732421875","10"
"TTD","296.8562927246094","11"
"TTD","294.5","12"
"TTD","296.0","13"
"TTD","295.7699890136719","14"
"TTD","297.6700134277344","15"
